,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_beta_1,param_beta_2,param_hidden_layer_sizes,param_max_iter,param_n_iter_no_change,param_solver,param_verbose,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
416,1.8752281188964843,0.790115056494924,0.0005343914031982422,3.242057883338845e-05,relu,16,0.9,0.95,"(3, 10)",300,25,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (3, 10), 'max_iter': 300, 'n_iter_no_change': 25, 'solver': 'adam', 'verbose': False}",0.6710526315789473,0.88,0.92,0.84,0.9466666666666667,0.8515438596491227,0.09721593243515536,2272
417,2.5134835720062254,0.014859552040151703,0.0005835533142089844,3.5797737844702644e-06,relu,16,0.9,0.95,"(3, 10)",300,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (3, 10), 'max_iter': 300, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.9078947368421053,0.9066666666666666,0.9066666666666666,0.84,0.9466666666666667,0.901578947368421,0.03439920976566625,941
418,4.1968615531921385,0.02005576756609292,0.0005852222442626953,4.242511066348118e-06,relu,16,0.9,0.95,"(3, 10)",500,25,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (3, 10), 'max_iter': 500, 'n_iter_no_change': 25, 'solver': 'adam', 'verbose': False}",0.9342105263157895,0.92,0.88,0.8266666666666667,0.96,0.9041754385964913,0.04660679446436057,865
419,4.178894948959351,0.03790632830911279,0.0005834102630615234,7.351647614845005e-06,relu,16,0.9,0.95,"(3, 10)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (3, 10), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.9078947368421053,0.88,0.8933333333333333,0.8266666666666667,0.9333333333333333,0.8882456140350877,0.03551008942843934,1833
420,2.2893274307250975,0.045889977862334536,0.0005565166473388671,4.5949736753819665e-05,relu,16,0.9,0.95,"(4, 9)",300,25,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (4, 9), 'max_iter': 300, 'n_iter_no_change': 25, 'solver': 'adam', 'verbose': False}",0.9210526315789473,0.92,0.9066666666666666,0.8666666666666667,0.9733333333333334,0.9175438596491228,0.03416902566006713,2
421,2.2472650527954103,0.014732383392514025,0.0005364894866943359,5.616566899004588e-06,relu,16,0.9,0.95,"(4, 9)",300,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (4, 9), 'max_iter': 300, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.8947368421052632,0.9066666666666666,0.88,0.8533333333333334,0.9466666666666667,0.8962807017543859,0.03084974856891312,1385
422,3.7094685077667235,0.074714221185521,0.0005301475524902344,8.74004919905536e-06,relu,16,0.9,0.95,"(4, 9)",500,25,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (4, 9), 'max_iter': 500, 'n_iter_no_change': 25, 'solver': 'adam', 'verbose': False}",0.881578947368421,0.9066666666666666,0.8533333333333334,0.8133333333333334,0.92,0.8749824561403509,0.03832305052978271,2121
423,3.973873662948608,0.21184660949014172,0.0005558967590332031,2.5784768166817735e-05,relu,16,0.9,0.95,"(4, 9)",500,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (4, 9), 'max_iter': 500, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.9210526315789473,0.92,0.8933333333333333,0.8133333333333334,0.9466666666666667,0.898877192982456,0.04597878456797003,1296
424,2.5037633419036864,0.004915374281002761,0.0005743026733398438,5.204738196327138e-06,relu,16,0.9,0.95,"(5, 8)",300,25,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (5, 8), 'max_iter': 300, 'n_iter_no_change': 25, 'solver': 'adam', 'verbose': False}",0.9210526315789473,0.9066666666666666,0.8933333333333333,0.8533333333333334,0.9333333333333333,0.901543859649123,0.027600991145593726,976
425,2.497340536117554,0.004159313322854702,0.0005733013153076172,6.102025326937252e-06,relu,16,0.9,0.95,"(5, 8)",300,50,adam,False,"{'activation': 'relu', 'batch_size': 16, 'beta_1': 0.9, 'beta_2': 0.95, 'hidden_layer_sizes': (5, 8), 'max_iter': 300, 'n_iter_no_change': 50, 'solver': 'adam', 'verbose': False}",0.9078947368421053,0.8933333333333333,0.8666666666666667,0.8533333333333334,0.9466666666666667,0.893578947368421,0.03276366400886709,1586
